episode,total_reward,wait_time,epsilon,alpha,gamma
519,44,8,0.2,0.1,0.9
520,-33,22,0.2,0.1,0.9
521,22,9,0.2,0.1,0.9
522,-13,34,0.2,0.1,0.9
523,30,4,0.2,0.1,0.9
524,7,21,0.2,0.1,0.9
525,40,10,0.2,0.1,0.9
526,31,3,0.2,0.1,0.9
527,-221,138,0.2,0.1,0.9
528,-7,27,0.2,0.1,0.9
529,41,21,0.2,0.1,0.9
530,27,5,0.2,0.1,0.9
531,-371,199,0.2,0.1,0.9
532,33,2,0.2,0.1,0.9
533,15,2,0.2,0.1,0.9
534,37,14,0.2,0.1,0.9
535,37,24,0.2,0.1,0.9
536,21,20,0.2,0.1,0.9
537,43,16,0.2,0.1,0.9
538,31,3,0.2,0.1,0.9
539,29,4,0.2,0.1,0.9
540,-67,57,0.2,0.1,0.9
541,21,11,0.2,0.1,0.9
542,32,18,0.2,0.1,0.9
543,19,16,0.2,0.1,0.9
544,42,10,0.2,0.1,0.9
545,14,27,0.2,0.1,0.9
546,26,14,0.2,0.1,0.9
547,13,18,0.2,0.1,0.9
548,-95,59,0.2,0.1,0.9
549,49,16,0.2,0.1,0.9
550,27,6,0.2,0.1,0.9
551,30,10,0.2,0.1,0.9
552,25,7,0.2,0.1,0.9
553,-45,57,0.2,0.1,0.9
554,55,13,0.2,0.1,0.9
555,12,4,0.2,0.1,0.9
556,4,14,0.2,0.1,0.9
557,12,11,0.2,0.1,0.9
558,30,4,0.2,0.1,0.9
559,27,6,0.2,0.1,0.9
560,30,10,0.2,0.1,0.9
561,27,14,0.2,0.1,0.9
562,18,18,0.2,0.1,0.9
563,3,12,0.2,0.1,0.9
564,-3,34,0.2,0.1,0.9
565,10,8,0.2,0.1,0.9
566,32,11,0.2,0.1,0.9
567,20,18,0.2,0.1,0.9
568,57,12,0.2,0.1,0.9
569,40,10,0.2,0.1,0.9
570,-52,51,0.2,0.1,0.9
571,25,16,0.2,0.1,0.9
572,43,8,0.2,0.1,0.9
573,29,4,0.2,0.1,0.9
574,17,6,0.2,0.1,0.9
575,39,10,0.2,0.1,0.9
576,-3,26,0.2,0.1,0.9
577,-25,35,0.2,0.1,0.9
578,-24,11,0.2,0.1,0.9
579,24,8,0.2,0.1,0.9
580,-45,42,0.2,0.1,0.9
581,13,10,0.2,0.1,0.9
582,29,12,0.2,0.1,0.9
583,-24,28,0.2,0.1,0.9
584,-23,45,0.2,0.1,0.9
585,41,9,0.2,0.1,0.9
586,14,25,0.2,0.1,0.9
587,-96,89,0.2,0.1,0.9
588,21,9,0.2,0.1,0.9
589,18,19,0.2,0.1,0.9
590,1,13,0.2,0.1,0.9
591,27,21,0.2,0.1,0.9
592,12,7,0.2,0.1,0.9
593,49,18,0.2,0.1,0.9
594,29,5,0.2,0.1,0.9
595,-117,88,0.2,0.1,0.9
